1	cmn	我们试试看！
2	cmn	我该去睡觉了。
4	cmn	这是什么啊？
5	cmn	今天是６月１８号，也是Muiriel的生日！
6	cmn	生日快乐，Muiriel！
7	cmn	Muiriel现在20岁了。
8	cmn	"密码是""Muiriel""。"
9	cmn	我很快就会回来。
10	cmn	我不知道。
11	cmn	我不知道应该说什么才好。
12	cmn	这个永远完不了了。
13	cmn	我只是不知道应该说什么而已……
14	cmn	那是一只有恶意的兔子。
15	cmn	我以前在山里。
16	cmn	那是一张近照吗？
17	cmn	我不知道我有没有时间。
18	cmn	刚才我的麦克风没起作用，不知道为什么。
19	cmn	到了最后，大家一定要靠自己学习。
20	cmn	世界上的教育都让我失望。
21	cmn	选择什么是“对”或“错”是一项艰难的任务，我们却必须要完成它。
22	cmn	这样做的话什么都不会改变的。
23	cmn	这个要三十欧元。
24	cmn	我一天赚一百欧元。
25	cmn	也许我会马上放弃然后去打盹。
26	cmn	那是不会发生的。
27	cmn	我会尽量不打扰你复习。
28	cmn	不要担心。
29	cmn	我很想你。
30	cmn	我明天回来的时候会跟他们联络。
31	cmn	我一直都比较喜欢神秘一点的人物。
32	cmn	你应该去睡觉了吧。
33	cmn	我要走了。
34	cmn	我请他们再寄给我一张票。
35	cmn	我不能这样活着。
36	cmn	我曾经想过当个太空物理学家。
37	cmn	我从来没喜欢过生物学。
38	cmn	可惜这是真的。
40	cmn	不，我不是！你才是！
41	cmn	那是我该说的话!
42	cmn	他在踢我！
43	cmn	你肯定吗？
44	cmn	那就表示有问题...
45	cmn	哦！有一只蝴蝶！
46	cmn	赶快!
47	cmn	如果我可以像那样的话...
48	cmn	你是在跟我开玩笑吧？！
49	cmn	我长大后想当国王。
50	cmn	我好胖哦。
51	cmn	那又怎样?
52	cmn	我要把他射下来。
53	cmn	那是因为妳是女生。
54	cmn	我会不高兴，但我不会自杀。
55	cmn	以前读高中的时候﹐我每天早上六点起床。
57	cmn	你待了多久?
58	cmn	我不知道它是从哪里来的。
59	cmn	这个不重要。
60	cmn	哪里有问题?
61	cmn	不要再把我当成“正常” 人!
62	cmn	所有被发明的都是真的。
63	cmn	感到惊讶、感到惊奇就是明白的开始。
64	cmn	宇宙毫无疑问是无限的。
65	cmn	要变得完美，她就是少了一个缺点。
66	cmn	然而，相反的理论往往也是真的。
67	cmn	我们看东西不是看其实质，而是以我们的主观意识看它们的。
68	cmn	世界就是一个疯子的囚笼。
69	cmn	我叫Jack。
70	cmn	从来就没有徒劳的爱情。
71	cmn	生活就是当你忙著进行你的计划时总有其他的事情发生。
72	cmn	没有欲望就等于拥有。
73	cmn	圣诞节快乐！
74	cmn	罗马不是一天建成的。
75	cmn	你是从哪个国家来的？
7166	cmn	我已经看过这部电影了。
119952	cmn	这间房间朝向很好。
136201	cmn	你知不知道他们是谁?
136235	cmn	他也会说法语。
136236	cmn	我会说法语。
136238	cmn	我收到了请帖。
136401	cmn	你住在哪里？
136402	cmn	你记不记得我们认识的那一天？
136598	cmn	他住在这里吗？
136604	cmn	火车站离这里不远。
136613	cmn	火车站在哪里?
136646	cmn	正在下雹。
139673	cmn	我爱你。
180700	cmn	我喜欢旅行。
180705	cmn	我很期待去旅游.
180706	cmn	我在旅行社工作.
180712	cmn	我跟父母住在一起.
181028	cmn	他没有孩子。
330581	cmn	这是我的妈妈。
330582	cmn	以后再讲。
330583	cmn	我真的不知道。
330584	cmn	人人都愿意相信美梦可以成真。
330585	cmn	十分感谢。
330586	cmn	我跟父母联络了一下。
330587	cmn	我跟父母讲了留学的事情。
330588	cmn	我把旅费耗光了。
330589	cmn	我在旅行中用了地图。
330590	cmn	我不够钱去旅行。
330591	cmn	他喜欢旅行。我也是。
332135	cmn	今天是几月几号？
332420	cmn	我收到了一张请帖。
332421	cmn	她半年后就要出国了。
332422	cmn	很少人这么认为。
332423	cmn	这周我一直在工作。
332424	cmn	我和她外出了几个月。
332425	cmn	明天下午之前我会把它完成。
332426	cmn	自己动手真好。
332427	cmn	那个发现纯属偶然。
332428	cmn	在英国的时候，我经常看参考书。
332429	cmn	我弟弟会经常彻夜不睡。
332430	cmn	你不得不制造一些借口。
332431	cmn	她可能出什么事了。
332432	cmn	你参加社团活动吗？
